demand_growth_cap,start_profile,strategy,sessions,completed_sessions,completion_rate,bankrupt_sessions,voted_out_sessions,average_score,average_final_budget,average_final_energy_autarky,average_final_citizen_satisfaction,average_final_supply_security,average_months_played
1.25,current,solar_first,100,75,0.75,25,0,35.4,21888630.0,33.07,100.0,15.0,48.4
1.25,current,wind_first,100,88,0.88,12,0,29.19,14955638.0,46.19,97.0,17.0,54.48
1.25,current,balanced,100,0,0.0,100,0,12.0,0.0,46.05,74.0,12.0,7.07
1.25,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
1.25,current,subsidy_first,100,0,0.0,100,0,18.16,0.0,99.78,87.8,4.0,6.2
1.25,current,adaptive,100,0,0.0,100,0,12.02,0.0,48.77,69.5,12.15,9.78
1.25,challenge,solar_first,100,75,0.75,25,0,35.4,21888630.0,33.07,100.0,15.0,48.4
1.25,challenge,wind_first,100,88,0.88,12,0,28.95,14955638.0,46.19,94.36,17.0,54.48
1.25,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.05,52.0,12.0,7.07
1.25,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.25,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.78,65.8,4.0,6.2
1.25,challenge,adaptive,100,0,0.0,100,0,9.84,0.0,48.77,47.5,12.15,9.78
1.3,current,solar_first,100,62,0.62,38,0,30.16,16632823.0,32.6,100.0,15.0,42.39
1.3,current,wind_first,100,78,0.78,22,0,24.98,10792022.0,45.92,94.22,17.0,49.74
1.3,current,balanced,100,0,0.0,100,0,12.0,0.0,46.09,74.0,12.0,7.05
1.3,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
1.3,current,subsidy_first,100,0,0.0,100,0,18.16,0.0,99.74,87.8,4.0,6.2
1.3,current,adaptive,100,0,0.0,100,0,11.69,0.0,46.97,69.12,12.15,9.79
1.3,challenge,solar_first,100,62,0.62,38,0,30.16,16632823.0,32.6,100.0,15.0,42.39
1.3,challenge,wind_first,100,78,0.78,22,0,24.54,10792022.0,45.92,89.38,17.0,49.74
1.3,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.09,52.0,12.0,7.05
1.3,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.3,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.74,65.8,4.0,6.2
1.3,challenge,adaptive,100,0,0.0,100,0,9.54,0.0,46.97,47.12,12.15,9.79
1.35,current,solar_first,100,57,0.57,43,0,26.99,13469854.0,31.75,100.0,15.0,40.1
1.35,current,wind_first,100,64,0.64,36,0,20.7,6695863.0,46.11,90.46,17.0,43.17
1.35,current,balanced,100,0,0.0,100,0,12.0,0.0,46.06,74.0,12.0,6.83
1.35,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
1.35,current,subsidy_first,100,0,0.0,100,0,18.14,0.0,99.74,87.72,4.0,6.18
1.35,current,adaptive,100,0,0.0,100,0,11.54,0.0,46.45,69.25,12.0,9.77
1.35,challenge,solar_first,100,57,0.57,43,0,26.99,13469854.0,31.75,100.0,15.0,40.1
1.35,challenge,wind_first,100,64,0.64,36,0,19.98,6695863.0,46.11,82.54,17.0,43.17
1.35,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.06,52.0,12.0,6.83
1.35,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.35,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.74,65.72,4.0,6.18
1.35,challenge,adaptive,100,0,0.0,100,0,9.33,0.0,46.45,47.25,12.0,9.77
1.4,current,solar_first,100,43,0.43,57,0,22.97,9236816.0,32.41,100.0,15.0,33.64
1.4,current,wind_first,100,59,0.59,41,0,17.79,4149099.0,45.49,89.07,17.0,40.8
1.4,current,balanced,100,0,0.0,100,0,12.0,0.0,46.06,74.0,12.0,6.83
1.4,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
1.4,current,subsidy_first,100,0,0.0,100,0,18.14,0.0,99.74,87.72,4.0,6.18
1.4,current,adaptive,100,0,0.0,100,0,11.53,0.0,46.0,69.25,12.0,9.75
1.4,challenge,solar_first,100,43,0.43,57,0,22.97,9236816.0,32.41,100.0,15.0,33.64
1.4,challenge,wind_first,100,59,0.59,41,0,16.97,4149099.0,45.49,80.05,17.0,40.8
1.4,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.06,52.0,12.0,6.83
1.4,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.4,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.74,65.72,4.0,6.18
1.4,challenge,adaptive,100,0,0.0,100,0,9.31,0.0,46.0,47.25,12.0,9.75
1.45,current,solar_first,100,43,0.43,57,0,21.11,7638336.0,31.68,100.0,15.0,33.64
1.45,current,wind_first,100,51,0.51,49,0,15.36,1851134.0,46.03,87.15,17.0,37.16
1.45,current,balanced,100,0,0.0,100,0,12.0,0.0,46.25,74.0,12.0,6.74
1.45,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
1.45,current,subsidy_first,100,0,0.0,100,0,18.14,0.0,99.74,87.72,4.0,6.18
1.45,current,adaptive,100,0,0.0,100,0,11.55,0.0,46.54,69.11,12.0,9.59
1.45,challenge,solar_first,100,43,0.43,57,0,21.11,7638336.0,31.68,100.0,15.0,33.64
1.45,challenge,wind_first,100,51,0.51,49,0,14.38,1851134.0,46.03,76.37,17.0,37.16
1.45,challenge,balanced,100,0,0.0,100,0,10.0,0.0,46.25,52.0,12.0,6.74
1.45,challenge,storage_first,100,0,0.0,100,0,6.7,0.0,10.75,50.0,15.0,5.0
1.45,challenge,subsidy_first,100,0,0.0,100,0,15.96,0.0,99.74,65.72,4.0,6.18
1.45,challenge,adaptive,100,0,0.0,100,0,9.33,0.0,46.54,47.11,12.0,9.59
1.5,current,solar_first,100,42,0.42,58,0,19.43,6047349.0,31.17,100.0,15.0,33.11
1.5,current,wind_first,100,20,0.2,80,0,13.65,292769.0,47.04,84.17,17.0,31.94
1.5,current,balanced,100,0,0.0,100,0,12.0,0.0,46.25,74.0,12.0,6.63
1.5,current,storage_first,100,0,0.0,100,0,8.7,0.0,10.75,72.0,15.0,5.0
