start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,solar_first,1,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,2,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,3,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,4,lost,bankrupt,48,0,32,100,15,14,2.0
current,solar_first,5,lost,bankrupt,48,0,32,100,15,14,2.0
current,solar_first,6,lost,bankrupt,48,0,32,100,15,14,2.0
current,solar_first,7,lost,bankrupt,48,0,32,100,15,14,2.0
current,solar_first,8,lost,bankrupt,39,0,30,100,15,14,2.0
current,solar_first,9,lost,bankrupt,39,0,30,100,15,14,2.0
current,solar_first,10,lost,bankrupt,38,0,30,100,15,14,2.0
current,solar_first,11,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,12,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,13,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,14,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,15,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,16,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,17,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,18,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,19,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,20,lost,bankrupt,15,0,33,100,15,14,2.0
current,solar_first,21,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,22,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,23,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,24,lost,bankrupt,13,0,40,100,15,15,2.0
current,solar_first,25,lost,bankrupt,13,0,40,100,15,15,2.0
current,solar_first,26,lost,bankrupt,12,0,33,100,15,14,2.0
current,solar_first,27,lost,bankrupt,12,0,33,100,15,14,2.0
current,solar_first,28,lost,bankrupt,12,0,33,100,15,14,2.0
current,solar_first,29,lost,bankrupt,12,0,33,100,15,14,2.0
current,solar_first,30,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,31,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,32,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,33,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,34,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,35,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,36,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,37,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,38,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,39,lost,bankrupt,12,0,33,100,15,14,2.0
current,solar_first,40,lost,bankrupt,12,0,33,100,15,14,2.0
current,solar_first,41,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,42,lost,bankrupt,14,0,33,100,15,14,2.0
current,solar_first,43,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,44,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,45,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,46,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,47,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,48,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,49,lost,bankrupt,13,0,32,100,15,14,2.0
current,solar_first,50,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,51,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,52,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,53,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,54,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,55,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,56,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,57,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,58,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,59,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,60,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,61,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,62,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,63,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,64,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,65,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,66,lost,bankrupt,12,0,28,100,15,13,2.0
current,solar_first,67,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,68,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,69,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,70,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,71,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,72,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,73,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,74,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,75,lost,bankrupt,13,0,27,100,15,13,2.0
current,solar_first,76,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,77,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,78,lost,bankrupt,16,0,42,100,15,15,2.0
current,solar_first,79,lost,bankrupt,16,0,42,100,15,15,2.0
current,solar_first,80,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,81,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,82,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,83,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,84,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,85,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,86,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,87,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,88,lost,bankrupt,12,0,24,100,15,13,2.0
current,solar_first,89,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,90,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,91,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,92,lost,bankrupt,13,0,23,100,15,13,2.0
current,solar_first,93,lost,bankrupt,15,0,48,100,15,15,2.0
current,solar_first,94,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,95,lost,bankrupt,14,0,40,100,15,15,2.0
current,solar_first,96,lost,bankrupt,13,0,23,100,15,13,2.0
